85,49,192,142,8,37,102,195,47,253,184,68,227,98,153,123
64,223,131,41,17,243,238,80,186,139,86,79,172,84,251,74
156,31,53,83,135,234,44,193,181,148,152,11,150,125,32,210
178,240,214,54,235,61,236,124,36,105,185,247,21,137,120,14
100,159,65,205,225,121,199,173,189,72,30,224,126,89,111,7
252,248,69,201,170,203,194,161,164,141,33,43,116,168,134,176
169,160,216,57,215,237,104,218,132,119,27,229,12,145,231,87
2,254,174,46,220,99,73,190,88,222,155,70,93,81,196,233
242,29,18,19,26,51,40,112,211,122,228,107,48,95,42,213
75,15,219,143,162,91,154,106,230,163,28,56,239,6,97,146
255,138,144,208,180,92,35,127,179,171,67,20,23,147,1,22
130,24,77,177,182,63,10,197,207,110,5,101,129,198,246,45
62,200,128,202,52,60,3,90,114,209,118,188,165,39,140,78
76,133,109,226,250,25,4,66,96,13,108,94,204,0,151,217
241,158,175,59,71,9,103,183,244,167,212,157,38,191,187,166
149,206,249,136,115,117,232,221,16,34,113,82,55,58,245,50
